               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.027496,           0.0072047,                   0,              0.9381,             0.92667,             0.96012,             0.60017,            0.026435,            0.005252,                   0,           0.0004936,           0.0004936,           0.0004936
                 110,            0.027726,           0.0073978,                   0,             0.92014,             0.93294,             0.95644,             0.60686,            0.026076,           0.0052696,                   0,          0.00048659,          0.00048659,          0.00048659
                 111,            0.028203,           0.0074503,                   0,              0.9328,             0.93085,             0.96394,             0.58937,            0.027412,           0.0054084,                   0,           0.0004796,           0.0004796,           0.0004796
                 112,            0.026701,           0.0073197,                   0,             0.92951,             0.93688,             0.96365,             0.60677,            0.026404,           0.0053671,                   0,          0.00047263,          0.00047263,          0.00047263
                 113,            0.027963,           0.0077045,                   0,             0.92514,             0.95066,             0.96585,             0.58415,            0.028204,           0.0054406,                   0,          0.00046568,          0.00046568,          0.00046568
                 114,            0.027677,           0.0074101,                   0,             0.92397,             0.93488,             0.95475,              0.5665,            0.027869,           0.0054325,                   0,          0.00045875,          0.00045875,          0.00045875
                 115,            0.026972,           0.0073082,                   0,              0.9348,              0.9073,             0.95136,             0.58798,            0.027185,           0.0053754,                   0,          0.00045184,          0.00045184,          0.00045184
                 116,             0.02691,           0.0070015,                   0,              0.9279,             0.94083,             0.96312,             0.61345,            0.025379,           0.0052415,                   0,          0.00044495,          0.00044495,          0.00044495
                 117,            0.025991,           0.0069215,                   0,             0.93345,             0.94083,             0.96043,             0.59606,            0.027273,            0.005361,                   0,          0.00043809,          0.00043809,          0.00043809
                 118,            0.026777,           0.0070854,                   0,             0.94802,              0.8994,              0.9521,             0.60882,            0.028003,           0.0054046,                   0,          0.00043126,          0.00043126,          0.00043126
                 119,            0.027448,           0.0072162,                   0,             0.91959,             0.92481,             0.95248,             0.58128,            0.028626,           0.0054197,                   0,          0.00042445,          0.00042445,          0.00042445
                 120,            0.026151,           0.0070357,                   0,             0.95187,             0.94083,             0.96821,              0.6133,            0.026623,           0.0052156,                   0,          0.00041768,          0.00041768,          0.00041768
                 121,            0.026529,           0.0068571,                   0,             0.91792,             0.94853,             0.95854,             0.61317,            0.024915,            0.005133,                   0,          0.00041094,          0.00041094,          0.00041094
                 122,            0.026131,           0.0071107,                   0,             0.92405,             0.93886,             0.96218,             0.60244,            0.025689,            0.005192,                   0,          0.00040424,          0.00040424,          0.00040424
                 123,            0.026117,           0.0071658,                   0,              0.9152,             0.93688,             0.95955,             0.59709,            0.026424,           0.0052555,                   0,          0.00039757,          0.00039757,          0.00039757
                 124,            0.025984,            0.007166,                   0,             0.89999,             0.95852,             0.96231,             0.61105,             0.02653,           0.0053835,                   0,          0.00039094,          0.00039094,          0.00039094
                 125,            0.026941,           0.0071427,                   0,             0.91906,             0.94083,             0.95946,             0.61351,            0.024931,           0.0052408,                   0,          0.00038434,          0.00038434,          0.00038434
                 126,            0.025757,           0.0070787,                   0,             0.93773,             0.95053,             0.96866,             0.61476,             0.02572,           0.0052343,                   0,          0.00037779,          0.00037779,          0.00037779
                 127,            0.025762,           0.0072677,                   0,             0.92705,             0.95254,             0.96391,              0.6138,            0.026339,           0.0052499,                   0,          0.00037128,          0.00037128,          0.00037128
                 128,            0.025478,           0.0069339,                   0,              0.9238,             0.95661,             0.96814,             0.61838,            0.026437,           0.0052955,                   0,          0.00036482,          0.00036482,          0.00036482
                 129,            0.026101,           0.0071107,                   0,              0.9422,             0.93491,              0.9661,             0.62121,             0.02489,           0.0051812,                   0,           0.0003584,           0.0003584,           0.0003584
                 130,            0.025738,           0.0070722,                   0,             0.92348,             0.92899,             0.95408,             0.58271,            0.026727,            0.005401,                   0,          0.00035203,          0.00035203,          0.00035203
                 131,            0.027288,           0.0070771,                   0,             0.91959,              0.9248,             0.95643,             0.60126,            0.024844,           0.0053011,                   0,           0.0003457,           0.0003457,           0.0003457
                 132,            0.024396,           0.0069612,                   0,             0.94183,             0.93097,             0.96092,             0.61351,            0.024864,           0.0052712,                   0,          0.00033943,          0.00033943,          0.00033943
                 133,            0.025333,           0.0068947,                   0,             0.92954,             0.93688,             0.96214,              0.6068,            0.025623,           0.0052853,                   0,          0.00033321,          0.00033321,          0.00033321
                 134,            0.026081,           0.0068526,                   0,             0.95518,             0.92702,             0.96808,             0.61169,             0.02572,           0.0053625,                   0,          0.00032704,          0.00032704,          0.00032704
                 135,            0.026287,           0.0070046,                   0,               0.922,             0.93294,             0.95343,              0.6095,            0.025708,            0.005257,                   0,          0.00032093,          0.00032093,          0.00032093
                 136,            0.025693,           0.0066911,                   0,             0.95164,             0.93294,             0.97112,             0.62156,            0.025883,           0.0052936,                   0,          0.00031488,          0.00031488,          0.00031488
                 137,            0.024027,           0.0066558,                   0,             0.94736,             0.92298,             0.96573,             0.60934,            0.027135,           0.0053575,                   0,          0.00030888,          0.00030888,          0.00030888
                 138,            0.025314,           0.0071018,                   0,              0.9315,             0.93879,             0.96636,             0.62466,            0.026376,           0.0052726,                   0,          0.00030294,          0.00030294,          0.00030294
                 139,             0.02421,           0.0066314,                   0,             0.93542,             0.94279,             0.96956,             0.62397,            0.026078,           0.0052835,                   0,          0.00029706,          0.00029706,          0.00029706
                 140,            0.024348,           0.0066816,                   0,              0.9498,              0.9329,             0.96879,             0.62152,            0.024857,           0.0051286,                   0,          0.00029125,          0.00029125,          0.00029125
                 141,             0.02539,            0.006868,                   0,             0.95053,             0.91519,             0.95917,             0.59591,            0.025731,           0.0052411,                   0,           0.0002855,           0.0002855,           0.0002855
                 142,            0.025338,             0.00698,                   0,             0.94772,             0.93097,             0.96306,             0.60307,            0.025571,           0.0053216,                   0,          0.00027981,          0.00027981,          0.00027981
                 143,            0.024682,           0.0066744,                   0,             0.94728,             0.92702,             0.95967,             0.61156,            0.025402,           0.0052072,                   0,          0.00027419,          0.00027419,          0.00027419
                 144,            0.024673,           0.0068273,                   0,             0.94302,              0.9467,             0.96775,             0.62017,            0.025466,             0.00519,                   0,          0.00026864,          0.00026864,          0.00026864
                 145,            0.025033,           0.0068428,                   0,             0.94444,             0.93876,             0.96472,             0.62804,            0.025082,           0.0051413,                   0,          0.00026316,          0.00026316,          0.00026316
                 146,            0.024055,           0.0069496,                   0,             0.93448,             0.93294,              0.9586,              0.6071,            0.026128,           0.0053041,                   0,          0.00025775,          0.00025775,          0.00025775
                 147,            0.024984,           0.0071206,                   0,             0.94275,              0.9428,             0.97197,              0.6236,            0.025534,           0.0052029,                   0,          0.00025241,          0.00025241,          0.00025241
                 148,            0.025478,            0.006942,                   0,             0.95171,             0.93289,             0.96687,              0.6155,            0.025793,           0.0051947,                   0,          0.00024714,          0.00024714,          0.00024714
